routeName,routeNo,icCode,icName,xValue,yValue
경부선,10,0010I00001,구서IC,129.09762,35.25071
경부선,10,0010I00003,양산IC,129.053314,35.378218
경부선,10,0010I00004,통도사IC,129.097021,35.498747
경부선,10,0010I00005,서울산IC,129.126636,35.553861
경부선,10,0010I00008,경주IC,129.187987,35.806331
경부선,10,0010I00009,건천IC,129.087849,35.843278
경부선,10,0010I00010,영천IC,128.95146,35.92238
경부선,10,0010I00011,경산IC,128.788225,35.878149
경부선,10,0010I00013,북대구IC,128.579858,35.906979
경부선,10,0010I00016,남구미IC,128.370149,36.068138
경부선,10,0010I00017,구미IC,128.362376,36.107744
경부선,10,0010I00019,김천IC,128.094609,36.13379
경부선,10,0010I00020,추풍령IC,128.00169,36.200379
경부선,10,0010I00021,황간IC,127.908085,36.220617
경부선,10,0010I00022,영동IC,127.834783,36.270274
경부선,10,0010I00023,금강IC,127.673348,36.279278
경부선,10,0010I00024,옥천IC,127.559532,36.317789
경부선,10,0010I00026,대전IC,127.452377,36.364235
경부선,10,0010I00028,신탄진IC,127.420961,36.4408
경부선,10,0010I00029,남청주IC,127.432157,36.534315
경부선,10,0010I00031,청주IC,127.385014,36.626784
경부선,10,0010I00032,목천IC,127.219247,36.75879
경부선,10,0010I00034,천안IC,127.171309,36.826284
경부선,10,0010I00035,안성IC,127.156069,36.994219
경부선,10,0010I00037,오산IC,127.086371,37.142691
경부선,10,0010I00038,기흥IC,127.102657,37.223075
경부선,10,0010I00039,수원신갈IC,127.105614,37.266266
경부선,10,0010I00043,대왕판교IC,127.091972,37.409462
경부선,10,0010I00045,양재IC,127.042014,37.463229
경부선,10,0010I00049,왜관IC,128.43469,35.977351
경부선,10,0010I00053,영천IC,128.950876,35.920798
경부선,10,0010I00054,판교IC,127.101818,37.397562
경부선,10,0010I00057,노포IC,129.10072,35.285107
경부선,10,0010I00058,김천IC,128.09453,36.135315
경부선,10,0010I00059,추풍령IC,128.004895,36.199818
경부선,10,0010I00063,칠곡물류IC,128.457305,35.956801
경부선,10,0010I00066,기흥동탄IC,127.099472,37.216953
경부선,10,0010I00089,동김천IC,128.17756,36.134976
경부선,10,0010I00092,북천안IC,127.191351,36.897397
경부선,10,0010I90050,남사진위IC,127.116617,37.106594
경부선,10,0010I90051,북구미IC,128.302709,36.143558
경부선,10,0010I90052,구서IC,129.099172,35.250426
경부선,10,0010I90055,옥산하이패스IC,127.372626,36.656813
경부선,10,0010I90057,활천 나들목IC,129.192602,35.712424
경부선,10,0010I90058,활천IC,129.19018,35.711867
경부선,10,0010J00002,양산JCT,129.043523,35.331863
경부선,10,0010J00006,언양JCT,129.13001,35.566669
경부선,10,0010J00025,비룡JCT,127.48177,36.346318
경부선,10,0010J00027,회덕JCT,127.421007,36.405272
경부선,10,0010J00030,남이JCT,127.422204,36.598011
경부선,10,0010J00033,천안JCT,127.182262,36.769703
경부선,10,0010J00036,안성JCT,127.140366,37.038514
경부선,10,0010J00040,신갈JCT,127.10478,37.291807
경부선,10,0010J00042,판교JCT,127.094529,37.40587
경부선,10,0010J90053,금토JCT,127.085428,37.41547
경부선,10,0010J90054,언양 분기점JCT,129.131398,35.567444
경부선,10,0010J90056,영천JCT,129.006724,35.920645
경부선,10,0010J90059,동대구JCT,128.694347,35.887474
경부선,10,4000J00001,동탄JCT,127.09599,37.17782
