고속도로명,통행량
 경부선,519216382.0
수도권 제1순환선,333146464.0
중앙선,224887515.0
영동선,213179248.0
중부선,162686535.0
서해안선,162563879.0
남해선,158903872.0
호남선,133125109.0
평택제천선,110913572.0
서산영덕선,99046453.0
호남선의 지선,95584339.0
동해선,95411852.0
중부내륙선,84459498.0
중앙선의 지선,75356475.0
부산외곽순환선,63696979.0
경인선,58456248.0
수도권제2순환선,57793522.0
새만금포항선(지선 포함),48517118.0
남해 제2지선,46959995.0
중부내륙선의 지선,46572069.0
울산선,34103908.0
광주대구선,31503506.0
남해 제1지선,29988944.0
제2경인선,28692485.0
대구외곽순환선,26551995.0
대전남부순환선,25375368.0
평택시흥선,22783718.0
무안광주선,19417173.0
순천완주선,18813931.0
고창담양선,17948260.0
상주영천선,17753923.0
서울양양선,17431875.0
함양울산선,15027341.0
제2영동선,14727440.0
서천공주선,12366438.0
부산신항 제2배후선,6727231.0
옥산오창선,6170245.0
평택화성선,3834073.0
오산화성선,728093.0
광주외곽순환선,85293.0
