고속도로명,사고번호,통행량
경인선,112,58456248.0
고창담양선,7,17948260.0
광주대구선,19,31503506.0
광주원주선,45,14727440.0
남해 제1지선,49,29988944.0
남해 제2지선,10,46959995.0
남해선,141,158903872.0
대구외곽순환선,3,26551995.0
대전남부순환선,7,25375368.0
동해선,68,95411852.0
무안광주선,14,19417173.0
부산외곽순환선,28,63696979.0
상주영천선,39,17753923.0
새만금포항선,32,48517118.0
서산영덕선,56,99046453.0
서울양양선,174,17431875.0
서천공주선,7,12366438.0
서해안선,311,162563879.0
수도권 제1순환선,908,333146464.0
수도권제2순환선,8,57793522.0
순천완주선,10,18813931.0
영동선,399,213179248.0
용인서울선,39,728093.0
울산선,3,34103908.0
제2경인선,112,28692485.0
중부내륙선,171,84459498.0
중부내륙선지선,61,46572069.0
중부선,181,162686535.0
중앙선,241,224887515.0
평택시흥선,56,22783718.0
평택제천선,80,110913572.0
평택화성선,66,3834073.0
함양울산선,2,15027341.0
호남선,114,133125109.0
호남선 지선,35,95584339.0
