사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011200100025,2022년 1월 12일 06시,수요일,부산광역시 금정구 선동,경상사고,0,0,6,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,76세,상해없음,승용,남,50세,경상
2022013000100171,2022년 1월 30일 15시,일요일,부산광역시 금정구 선동,중상사고,0,1,6,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,특수,남,55세,상해없음,승용,남,29세,경상
2022021900100025,2022년 2월 19일 04시,토요일,부산광역시 금정구 두구동,중상사고,0,1,0,1,차대차 - 기타,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,35세,부상신고,승용,여,30세,상해없음
2022022600100497,2022년 2월 26일 23시,토요일,부산광역시 금정구 노포동,중상사고,0,1,1,0,차대차 - 측면충돌,기타,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,29세,중상
2022040800100220,2022년 4월 8일 12시,금요일,부산광역시 금정구 노포동,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,경상,보행자,여,50세,중상
2022042000100191,2022년 4월 20일 10시,수요일,부산광역시 금정구 선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,40세,상해없음,화물,남,45세,경상
2022050900100234,2022년 5월 9일 12시,월요일,부산광역시 금정구 노포동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,여,65세,상해없음,화물,남,25세,경상
2022060800100465,2022년 6월 8일 19시,수요일,부산광역시 금정구 노포동,중상사고,0,2,0,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,31세,중상,승용,여,33세,중상
2022061400100146,2022년 6월 14일 09시,화요일,부산광역시 금정구 노포동,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,젖음/습기,흐림,단일로 - 기타,화물,남,42세,상해없음,승용,남,24세,부상신고
2022080700100203,2022년 8월 7일 15시,일요일,부산광역시 금정구 두구동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,74세,상해없음,승용,여,53세,중상
2022081100100331,2022년 8월 11일 17시,목요일,부산광역시 금정구 노포동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,20세,상해없음,승용,남,28세,경상
2022101800100603,2022년 10월 18일 20시,화요일,부산광역시 금정구 노포동,경상사고,0,0,1,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,남,69세,부상신고
2022112300100323,2022년 11월 23일 16시,수요일,부산광역시 금정구 두구동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,76세,상해없음,승용,남,43세,경상
2022121600100245,2022년 12월 16일 13시,금요일,부산광역시 금정구 노포동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,40세,경상
