지역구,인구수,어린이인구수,어린이사고수,차량등록대수,어린이공원개수,어린이집수,유치원수,유아원수,초등학교수,어린이보호구역CCTV수,어린이보호구역개수,DecisionTree,GradientBoosting,RandomForest,LinearRegression
종로구 ,145714,145714,28,50052,24,116,17,133,13,45,48,19,23.59814168,29.52,14.74278084
중구 ,121926,121926,19,51736,16,94,14,108,12,76,43,19,19.01796379,25.96,15.27165378
용산구 ,218691,218691,36,76521,23,179,17,196,15,235,37,36,36.00864416,36.64,37.16507232
성동구 ,295428,295428,38,106263,32,275,31,306,21,490,52,38,38.00907955,44.95,59.86423073
광진구 ,346032,346032,72,99299,35,294,36,330,21,625,74,72,71.9751017,68.09,64.22570238
동대문구 ,339364,339364,60,97910,42,308,33,341,21,282,75,60,60.0180076,61.18,56.05765046
중랑구 ,391196,391196,95,112723,44,372,33,405,23,141,42,95,94.97185681,85.5,65.29157708
성북구 ,434848,434848,82,119321,36,462,52,514,29,444,102,82,82.02291107,84.99,84.32857433
강북구 ,308385,308385,59,76364,44,243,22,265,14,351,41,44,45.15799746,42.74,46.38124564
도봉구 ,329039,329039,54,96435,39,396,29,425,23,151,64,54,53.99901262,64.53,63.25159503
노원구 ,527045,527045,92,152071,92,675,69,744,42,260,121,92,92.0038796,94.89,96.1571117
은평구 ,471936,471936,85,129820,45,520,45,565,30,750,74,114,109.8040164,100.39,100.9120404
서대문구 ,302628,302628,44,87104,43,274,23,297,19,132,40,44,44.00476496,43.61,45.03891682
마포구 ,366365,366365,57,117907,54,373,26,399,22,195,52,57,56.99038146,62.45,66.51837992
양천구 ,452784,452784,114,149673,74,478,47,525,30,831,96,114,114.000225,106.45,95.5293005
강서구 ,584804,584804,99,204675,122,604,59,663,35,288,88,99,98.98119511,98.56,104.4890087
구로구 ,401965,401965,94,144465,26,489,35,524,27,546,61,88,89.23393054,86.81,102.2503201
금천구 ,228716,228716,43,87581,41,266,19,285,18,268,46,43,42.97736055,41.71,46.25272938
영등포구 ,360215,360215,88,142010,29,423,40,463,23,286,66,88,87.98196303,82.96,86.96584517
동작구 ,390198,390198,66,105472,32,338,37,375,21,400,66,66,66.00145903,66.88,69.01225107
관악구 ,492126,492126,58,120050,71,398,36,434,22,258,72,58,58.03316571,66.85,71.56283294
서초구 ,422317,422317,80,181182,87,330,29,359,24,204,92,80,80.01460575,80.95,73.82596069
강남구 ,532911,532911,115,235415,62,359,40,399,33,1157,116,115,114.9963503,109.61,120.0011336
송파구 ,666686,666686,140,240559,87,670,54,724,40,449,88,92,95.49570229,98.38,137.3935844
강동구 ,429637,429637,87,139549,62,430,34,464,27,237,85,87,86.99207226,86.44,78.19047338
