지역구,어린이사고수,DecisionTree,Gradient Boosting,Random Forest,Linear Regression
종로구 ,28,19,23.59814168,29.52,14.74278084
중구 ,19,19,19.01796379,25.96,15.27165378
용산구 ,36,36,36.00864416,36.64,37.16507232
성동구 ,38,38,38.00907955,44.95,59.86423073
광진구 ,72,72,71.9751017,68.09,64.22570238
동대문구 ,60,60,60.0180076,61.18,56.05765046
중랑구 ,95,95,94.97185681,85.5,65.29157708
성북구 ,82,82,82.02291107,84.99,84.32857433
강북구 ,59,44,45.15799746,42.74,46.38124564
도봉구 ,54,54,53.99901262,64.53,63.25159503
노원구 ,92,92,92.0038796,94.89,96.1571117
은평구 ,85,114,109.8040164,100.39,100.9120404
서대문구 ,44,44,44.00476496,43.61,45.03891682
마포구 ,57,57,56.99038146,62.45,66.51837992
양천구 ,114,114,114.000225,106.45,95.5293005
강서구 ,99,99,98.98119511,98.56,104.4890087
구로구 ,94,88,89.23393054,86.81,102.2503201
금천구 ,43,43,42.97736055,41.71,46.25272938
영등포구 ,88,88,87.98196303,82.96,86.96584517
동작구 ,66,66,66.00145903,66.88,69.01225107
관악구 ,58,58,58.03316571,66.85,71.56283294
서초구 ,80,80,80.01460575,80.95,73.82596069
강남구 ,115,115,114.9963503,109.61,120.0011336
송파구 ,140,92,95.49570229,98.38,137.3935844
강동구 ,87,87,86.99207226,86.44,78.19047338
