지역구,어린이사고수,인구수,어린이인구수,차량등록대수,어린이공원개수,어린이집수,유치원수,유아원수,초등학교수,어린이보호구역CCTV수,어린이보호구역개수,예측어린이사고수
종로구 ,28,151290,11317,50052,24,116,17,133,13,45,48,30.03
중구 ,19,126171,9383,51736,16,94,14,108,12,76,43,26.18
용산구 ,36,228670,18563,76521,23,179,17,196,15,235,37,36.64
성동구 ,38,300889,27887,106263,32,275,31,306,21,490,52,45.33
광진구 ,72,351350,29043,99299,35,294,36,330,21,625,74,68.09
동대문구 ,60,346194,29035,97910,42,308,33,341,21,282,75,61.18
중랑구 ,95,397015,32314,112723,44,372,33,405,23,141,42,85.52
성북구 ,82,442650,41671,119321,36,462,52,514,29,444,102,84.87
강북구 ,59,313954,23640,76364,44,243,22,265,14,351,41,41.79
도봉구 ,54,333362,27949,96435,39,396,29,425,23,151,64,64.13
노원구 ,92,532905,50300,152071,92,675,69,744,42,260,121,94.32
은평구 ,85,480032,42691,129820,45,520,45,565,30,750,74,101.11
서대문구 ,44,309397,26860,87104,43,274,23,297,19,132,40,43.34
마포구 ,57,374035,35143,117907,54,373,26,399,22,195,52,62.36
양천구 ,114,458165,47791,149673,74,478,47,525,30,831,96,106.43
강서구 ,99,591796,57283,204675,122,604,59,663,35,288,88,98.56
구로구 ,94,406664,39630,144465,26,489,35,524,27,546,61,87.26
금천구 ,43,232810,17852,87581,41,266,19,285,18,268,46,41.71
영등포구 ,88,367678,32366,142010,29,423,40,463,23,286,66,83.03
동작구 ,66,395963,34712,105472,32,338,37,375,21,400,66,66.81
관악구 ,58,500094,33102,120050,71,398,36,434,22,258,72,66.75
서초구 ,80,430826,49699,181182,87,330,29,359,24,204,92,80.92
강남구 ,115,545169,55528,235415,62,359,40,399,33,1157,116,109.37
송파구 ,140,675961,71106,240559,87,670,54,724,40,449,88,98.38
강동구 ,87,436067,43078,139549,62,430,34,464,27,237,85,86.38
